Job_Code,Job_Title,Siglum
A-TEMP,Temporary,AAI
A-TMPH,Temporary - HR,AAI
APAVAD,Supply Chain Quality Mgr II,AAI
APAVAM,Supply Chain Qual Specialist,AAI
SHADOW,Shadow Payroll,AAI
A-VIE,VIE,AAI
A-VIEH,VIE - HR,AAI
A-INTR,Intern,AAI
APAB4E,HO Procurement Ops Cabin,AAI
998,TBD - AA exempt,AAI
995,TBD - AA Exec B4,AAI
999,ZZDEFAULT- DO NOT USE,AAI
997,TBD - AA non-exempt,AAI
996,TBD - AA blue collar,AAI
F4S02A,A/C Cabin Installer,AAI
EEE09A,Sr Engineer,AAI
APAVAL,Complex Project Leader,AAI
AHA16C,Talent Acquisition Partner I,AAI
1-ROOF,One Roof NA Access,AAI
MOAZZX,"Manager, PMO",AAI
A0A07A,Aircraft Structure Expert,AAI
A0A07B,Aircraft Maintenance Tech,AAI
AFA05B,Payroll Administrator,AAI
AFA05D,Corporate Accountant II,AAI
AGA05A,Sr Coordinator,AAI
ALA03A,TSA Training Assistant,AAI
ALA04A,Contracts Support Coordinator,AAI
ALA04C,Customer Svcs Administrator,AAI
ALA04E,Training Records Coordinator,AAI
ALA04F,FS Logistics Coordinator,AAI
ALA05A,Flight Sim Technician,AAI
ALA05B,Lead Flight Sim Technician,AAI
ALA05C,Flight Sim Technician II,AAI
ALA05D,Lead Flight Sim Technician CO,AAI
ALA05E,Training Delivery Coordinator,AAI
ALA05F,Flight Sim Technician I,AAI
ALA05G,Flight Sim Technician III,AAI
ALA05H,"Supervisor, Contracts Mgmt",AAI
AMA05A,Facilities Coordinator,AAI
ANA05A,Commercial Coordinator,AAI
APA06A,Business Administrator,AAI
AYA04B,Administrative Assistant I,AAI
AYA05B,P&S Coordinator,AAI
AYA06A,Executive Assistant I,AAI
AYA07A,Executive Assistant,AAI
F1F04B,Tool Tech & Dev Coordinator,AAI
F9F06A,Operations Trainer,AAI
FBF03A,Logistics Technician,AAI
FHF04A,HR Assistant,AAI
FHF04B,Digital ONB Coordinator,AAI
FQF05G,Quality Document Specialist I,AAI
AKA18A,Field Svc Representative,AAI
FYF04C,Admin Assistant I,AAI
FYF05B,Admin Assistant II,AAI
FYF05D,Office Manager,AAI
FYF06A,Executive Assistant I,AAI
FYF06B,Project Coordinator,AAI
SWT12B,Warehouse Operator,AAI
SWT12O,Warehouse Specialist,AAI
S5T12A,Hose Production Tester,AAI
SLT13N,Inventory Control Coordinator,AAI
S5T13N,Hose Shop Technician,AAI
SOT13N,Production Coordinator,AAI
SLT14M,Customer Order Specialist,AAI
S7T14A,Customer Order Specialist A220,AAI
SLT14A,Repair & Warranty Specialist,AAI
SWT14B,Tooling Specialist,AAI
SWT14C,Control Station Coordinator,AAI
SWT14H,Autostore Specialist,AAI
SQT14A,Quality Inspector DAR Asst,AAI
SWT14G,Shipping Specialist,AAI
SWT14D,Kitting Operations Technician,AAI
SIT14L,IT Help Desk Support Tech,AAI
SIT14A,IT Support Technician,AAI
SWT14I,Production Planner,AAI
SWT14N,Repair Technician,AAI
SWT14E,Sr Hose Shop Technician,AAI
SWT14A,Transportation Specialist,AAI
SWT14M,Warehouse Assistant,AAI
AYA14A,Sr Administrative Assistant,AAI
AFA15F,Treasury Analyst,AAI
AGA15B,Reg Indust Secrty Bus Partner,AAI
FPF15A,Buyer I,AAI
SLT15C,Customer Order Manager,AAI
SLT15A,AOG Resolution Manager,AAI
FQF15D,Quality Conformance Mgr I,AAI
FQF15B,Quality Lineside Improver I,AAI
F1F15A,AOS Specialist I,AAI
FEF15A,Integrated Planner I,AAI
FPF15B,Supply Ordering Officer I,AAI
FBF15C,Logistics Coordinator I,AAI
F9F15C,Xplant Supply Chain Coord I,AAI
FFF15B,Customs Coordinator,AAI
FEF15D,Industrial Ops Project Lead,AAI
FBF15B,Material Planner I,AAI
FBF15D,Work Planner I,AAI
F9F15A,Performance Mgmt Analyst I,AAI
F9F15B,Secondary Flow Analyst,AAI
SWT15B,Carpentry Lead,AAI
SLT15D,Heavy Maintenance Manager,AAI
SOT15L,Technical Coordinator,AAI
SOT15B,Production Process Manager,AAI
SPT15A,Procurement Specialist,AAI
SQT15L,Quality Inspector,AAI
FHF15B,HR Coordinator,AAI
FHF15A,Training Coordinator,AAI
FGF15B,EHS Coordinator,AAI
F1F15H,Supply Chain Data Analyst,AAI
F1F15G,Paint Shop Tactical Planner,AAI
F1F15D,Facilities Coordinator,AAI
FMF15A,Transport & Fleet Coordinator,AAI
FFF15A,Financial Analyst I,AAI
AFA15G,Financial Data Analyst I,AAI
AOA15C,Business Data Analyst,AAI
KIB16A,Engineer I,AAI
APAVAF,Technical Advisor,AAI
AHA16D,Compensation Analyst,AAI
AIA16A,Systems Administrator,AAI
ALA16B,Quality Mgmt Inspector,AAI
ALA16H,Cust Satisf Imprvmt Prgram Mgr,AAI
ALA16E,Customer Experience Analyst,AAI
ALA16G,Structure Repair Engineer,AAI
ALA16F,Maint Planning Specialist,AAI
ALA16D,Quality Compliance Manager,AAI
FEF16G,Process Perf Engineer I,AAI
FQF16H,Quality Conformance Mgr II,AAI
